叶子类目名称,按订单量加权价格中位数,过滤后总订单量,过滤后样本行数 (1),过滤后样本行数
打水板/浮板,12.8,25,17,
打泡器,9.9,14,7,
打火机,14.4,6613,1021,
打火机用油,24.657955,374,60,
打火机盲盒,166.90625,57,3,
打火石,398,1,1,
打胶机,476,10,3,
打药机,18.85,37,15,
托盘/栈板,25,12,9,
托辊,33.56,2,2,
扣,11,196,71,
执业考试其他,70.854651,92,32,
扩音器/录像机,170.802625,177,47,
扫地机器人/拖地机器人,2061.8125,42,6,
扫地机配件/耗材,35.133333,94,47,
扫把及扫把头,17.55,1666,192,
扫描仪耗材/配件,360,1,1,
扭扭车/滑行车,79.534243,807,119,
扭腰盘,19.8,4,3,
扳手,10.905,1070,257,
扳牙,42.666667,22,9,
扶手箱,19.131467,111,28,
抄网及配件,61.424567,2804,251,
抑菌乳膏,17.896471,2012,354,
抓夹,17.768889,404,54,
抓绒衣,36.933333,229,92,
投影机,1594.94,73,11,
投影机耗材/配件,66,31,17,
投影灯,7.420256,78,13,
投篮机/投篮训练器,5.98,2,2,
投资足金,2126.66667,686,37,
投资银,483.310204,62,11,
抗菌消炎(Rx),35.336786,143,3,
折叠凳/马扎,14.75,112,32,
折叠床,105.657455,324,66,
折叠桌,43.652941,478,144,
折叠椅/躺椅,22.85,347,79,
折叠洗衣机,63.9,57,27,
折扇/扇子,59.858959,3395,90,
抛光布,5.386667,4,2,
抛光机,155.733333,5,3,
抛光盘,43.2,7,6,
护具,39.9,298,138,
护发仪,258.283333,9,3,
护发精油,24.702674,5010,237,
护发素/发膜,80.031381,14089,405,
护唇/润唇,21.258713,551,47,
护垫,34.923306,3356,99,
护套线,65.41,48,28,
护手霜,32.548224,5280,333,
护栏/隔离栏/围栏/铁丝网,57.9,141,87,
护牙素,8.859225,305,8,
护理床及配件,860,5,3,
护甲霜/护甲油/指缘油,49.75,21,10,
护耳贴,38.005625,31,5,
护肤体验装/便携装,31.352107,1730,61,
护脐贴,28.8,23,8,
护腰枕,134.610383,944,31,
护膝/护腰/护肩/护颈,29.246123,4472,645,
护臀膏,75.682326,235,22,
护鼻膏,10.55,8,4,
报警主机,69.125,19,11,
披萨,27.83544,1401,38,
披风/斗篷,32.594324,84,25,
抬头显示/HUD,68,6,6,
抱婴腰带/腰凳,54.9,284,73,
抹布,8.993525,14358,510,
抹茶粉,43.633862,548,19,
抽气泵,17.087273,23,6,
抽湿器/除湿器,596.782964,331,14,
拇指琴,17.8,28,12,
拉丁舞配饰,37.68,6,5,
拉力绳/拉力器,8.584879,2619,290,
拉手,17.99,94,68,
拉杆包,68,7,6,
拉篮,301.34193,167,26,
拉花,23.82,278,90,
拍立得相机,833.4,40,14,
拍立得配件及周边,91.706667,66,25,
拍纸本,32.491875,55,7,
拐杖及配件,107.21375,49,15,
拔罐器,35.618182,99,11,
拖地花露水,5.854,96,10,
拖把,27.149216,6057,326,
拖把池,234.2,12,8,
拖把配件,16.854848,315,107,
拖车绳,24.833333,130,59,
拖车钩/杠,159,14,12,
拖鞋,36.793171,38935,6251,
拨片,14,7,7,
拳击手套,63,46,24,
拳击沙袋,152.416667,44,20,
拼插积木,24.430938,3341,703,
拼装模型,40.714286,423,127,
拾便器,25.0875,44,14,
拾音器,288,1,1,
挂书袋,29.75,45,6,
挂坠/吊坠,14.700755,487,86,
挂烫机,90.141053,465,36,
挂耳咖啡,33.1924,159,29,
挂钟,48.334783,248,117,
挂钩/粘钩,8.91,3949,616,
挂饰/挂牌,5.98,86,39,
指南针/温度计/气压计/高度计,35.276,9,3,
指尖血检测,83.349431,443,35,
指挥棒,5.01,7,1,
指甲修护乳/霜,33.097576,91,14,
指甲刀/指甲钳,12.118769,7161,195,
指甲剪,8.577778,92,21,
指甲油,12.607692,1283,303,
指示表,175.75,2,2,
按摩器/枕/坐垫/枪,87.958776,5910,320,
按摩床垫,361.6825,17,3,
按摩棒/锤/刮疗片/板,13.94939,2527,216,
按摩椅/沙发,5191.33333,8,4,
按摩油,17.476452,947,22,
挡泥板,29.9,343,222,
挡风被,21.438323,4558,311,
挤牙膏器,13.306667,29,13,
挥杆练习器,7.95,3,2,
捆扎带/车把带,9.326606,438,61,
换气扇,118.13,9,9,
换气扇/排气扇,95.833333,91,56,
排挡/手刹套,13.8,134,72,
排挡杆,42.555556,55,29,
排梳,13.577778,428,53,
排水管/下水管,18.199867,818,108,
排球,44.334667,93,32,
排球鞋,275,3,3,
探鱼器,38.304,53,17,
接线板,15.816923,1166,326,
接线柱,9.56,1,1,
接线盒,6.36,2,2,
接线端子,6.667778,214,43,
控制与自动化系统,13.9,4,3,
控笔训练本,18.357394,615,11,
推拉窗,98,4,2,
推车配件,27.471429,271,102,
揉擦笔/揉擦绵,6.94,2,2,
揉面工具,26.553571,475,48,
提琴弓,58,1,1,
提琴弦,60,1,1,
提示牌,14.05,457,324,
插卡取电开关,65.51,1,1,
插头,22.315,112,42,
插梳,15.403433,326,8,
握力器,13.494029,609,50,
握笔器,17.614286,189,25,
搁板/置物架,29,442,209,
搅拌/料理机,16.14359,298,51,
搅拌机,161.5,11,8,
搅拌杯,16.327799,431,7,
搓澡巾/海绵,8.906767,5871,225,
搓脚板/洗脚刷/磨脚石,7.055625,321,51,
摄像头,49.19,9,4,
摄影摄像,653.047619,63,1,
摄影棚,35.821053,96,2,
摄影艺术,47.295124,123,3,
摆件,30.222222,24,10,
摆件/把件,133.804167,73,9,
摇奶器,194.25,4,1,
摇椅,286.280769,78,20,
摩托车GPS定位,71,18,4,
摩托车USB充电器,29.9,27,6,
摩托车仪表,51.8,3,2,
摩托车保险杠,73.45,44,34,
摩托车减震器,18,12,8,
摩托车刹车油,22.25,9,5,
摩托车前挡风,108.466667,109,63,
摩托车化油器,78.85,2,2,
摩托车发动机,1800,1,1,
摩托车后视镜,37.9,9,7,
摩托车喇叭/音响,28.8,15,9,
摩托车外壳,65,14,12,
摩托车导流罩,24.8,18,5,
摩托车尾翼,85.04,10,8,
摩托车手把套,7.222083,156,55,
摩托车拉线,21.08,6,6,
摩托车排气管,65,15,9,
摩托车整车,5980,5,4,
摩托车机油,49,109,35,
摩托车氙气灯,80,1,1,
摩托车滤清器,19.5,20,15,
摩托车漆面保护膜,8,3,3,
摩托车火花塞,31.307895,23,5,
摩托车燃油添加剂,75.047368,20,2,
摩托车牌照架,23.488889,103,45,
摩托车电瓶,61.228571,21,13,
摩托车离合器,63,7,6,
摩托车胎压监测仪,169,2,2,
摩托车脚踏板,30.8,40,30,
摩托车车架,545.78,41,11,
摩托车车衣/车罩,7.426885,218,45,
摩托车车锁,22.794872,52,11,
摩托车轮毂,17,1,1,
摩托车轮胎,280,12,11,
摩托车钥匙,9.141176,31,13,
摩托车防冻液,8.603077,20,5,
摩托车齿轮,6.9,1,1,
撑伞架,27.04375,46,8,
撬棒,14.728,91,36,
撬胎棒,9.84,3,3,
擀面杖,15.9,89,32,
擦手纸,23.42,156,30,
擦窗机器人,496,4,2,
擦车巾,9.589533,682,113,
支架灯,24.3,4,4,
收割机械,415,3,2,
收纳凳,20.216,249,54,
收纳架,14.482335,11681,1573,
收纳柜,96.646667,817,186,
收纳盒,13,8007,1304,
收纳筐/收纳篮,18.25,2441,429,
收纳箱,29.566667,2776,661,
收纳袋,19.269863,17359,1863,
收腰扣,8.309079,188,20,
收藏鉴赏,12.75,17,5,
收银机,15.788,27,13,
收音机,167.775714,24,8,
改色膜,28.9,39,31,
放大镜,16.295,92,31,
政治理论,39,3,3,
教学标本/模型,13.63626,1264,14,
教师资格培训,9.9,15,7,
教师资格考试,41.593684,173,30,
教育/教育普及,26.931964,1368,99,
教育家,18,1,1,
教辅学习类期刊订阅,81.4875,14,3,
教鞭,8.355,60,25,
散热器/风扇,31,54,36,
散珠/串珠/萌粒,10.871,3079,500,
散珠/配石/裸石,26.395102,160,25,
数学,39.007941,58,8,
数码摄像机,229.68,6,4,
数码显微镜,133.457778,16,6,
数码望远镜,119,5,2,
数码相机,2750.93113,894,35,
数码相机充电器,190.230769,33,8,
数码相机屏幕保护膜,32.973962,122,29,
数码相机数据线,22,6,5,
数码相框,98,4,2,
数码维修工具,14.7,81,40,
数码设备小贴纸,10.103702,1116,74,
数码钢琴,254.5,12,10,
数码防丢器,52.700535,317,21,
整体淋浴房,63.95,4,3,
整套茶具,81.6,97,59,
整枝灵芝,22.425,25,10,
整流器,56.37,1,1,
整顶假发,62.5,1793,505,
整鸡,97.9,789,131,
整鸭,24.851595,1130,55,
整鹅,36.375385,114,25,
敷贴敷料,27.439574,1217,82,
文件夹,15.9,396,134,
文件架,17.266667,112,40,
文件袋,10.39,305,53,
文具套装/礼盒,30.849483,1290,105,
文化,107.25,16,5,
文化理论,34.95,4,1,
文化评述,8.47,3,1,
文学,8.6625,40,7,
文学作品集,77.271513,210,25,
文学理论/文学评论与研究,9.190698,54,7,
