叶子类目名称,按订单量加权价格中位数,过滤后总订单量,过滤后样本行数 (1),过滤后样本行数
棉衣,55,1099,417,
棉裤,62.397826,69,23,
棉鞋,26.134286,94,50,
棒冰/碎冰冰,27.618586,163,16,
棒球棒,18.71,5,5,
棒球球迷用品,6.53,3,3,
棒球鞋,259.666667,5,2,
棕榈床垫,264.42,42,31,
植保机械,99.641256,1567,33,
植物,72.982,31,2,
植物油,58.670714,4903,244,
植物生长灯,38.524468,70,18,
植物生长调节剂,34.550822,469,41,
植物类饮片,14.95,20,15,
植物精华/提取物,65.394677,2475,167,
植物饮料,28.459532,6364,220,
椰子片,11.26,51,20,
椰子粉,19.9,20,11,
椰浆,11.1025,25,10,
椰蒂,47.919565,42,12,
椰蓉/椰丝,57.710638,58,4,
椰青,55.14532,1180,38,
楼宇对讲设备,46.858,13,7,
楼梯扶手,133.1,2,2,
楼梯立柱,49,1,1,
榛子,91.606579,181,10,
榛子巧克力,40.460435,124,21,
榴莲干,51.143134,142,5,
榴莲饼,29.9,1,1,
模具及模具加工,67.538765,144,20,
模型制作,16.656,126,67,
樱桃/车厘子干,32.8,4,2,
橄榄,24.162083,1253,83,
橄榄核,34,136,21,
橄榄油,77.942521,252,26,
橘皮/陈皮,35.432333,688,65,
橙子,29.337424,20183,138,
橡皮,5.913207,3573,166,
橡胶及制品,35.454545,28,10,
橡胶球/球形玩具,11.694509,588,84,
橱柜灯,62.82,16,8,
欧美腕表,1204.2075,68,19,
止吠器,164.375,14,3,
止汗露,61.429745,6900,215,
止痒膏/露/液/剂,16.557663,15545,391,
正姿笔,18.491379,72,5,
殡葬纸品,24,26,17,
毛丹/毛荔枝,24.8,2,2,
毛孔清洁器,6.992935,160,10,
毛巾/浴巾,18.380847,10636,1235,
毛毯/休闲毯/绒毯,29.143704,2436,228,
毛笔,23.058006,1302,172,
毛笔字帖,23.45,111,58,
毛绒玩偶/公仔,24.924286,5726,1160,
毛衣链,15.199054,579,50,
毛边纸,15,101,37,
毯子,43.175,115,42,
毽子,23.6,31,15,
民族服装,29.349057,4528,977,
民法,11.666667,8,4,
民谣吉他,435.5,50,30,
民间文学/民族文学,17.632394,415,2,
民间艺术,98,1,1,
气体检测仪,95.9,3,2,
气体检测报警器,66,3,3,
气动元件,49,47,35,
气动扳手,50,3,1,
气动搅拌机,8.52,4,2,
气动棘轮扳手,73.8,1,1,
气动磨光机,80,16,8,
气动系统,72,11,7,
气动螺丝刀,88.2,1,1,
气动铆钉机,33.8,3,2,
气压表/胎压表,7.35,17,6,
气垫,123,5987,266,
气泡水,5.500331,3777,43,
气球,19.9,1186,338,
气缸头,12.21,1,1,
气罐,18.069355,180,33,
气钉枪,38.60125,23,14,
气铲/气锹,455.6,1,1,
气锤,659,1,1,
气门/气门组件,14.8,6,3,
气门芯/气门芯套,10.942857,115,34,
气鼓,377,1,1,
氛围装饰灯,35,389,167,
氧气瓶/氧气袋,27.528667,18,3,
水产养殖物资,78,146,56,
水具套装,11.8,240,77,
水写布,23.751429,27,15,
水垢清洁剂/除垢剂,9.343476,457,41,
水塞,23.919856,571,45,
水壶/水杯,26.754355,2209,283,
水壶架,13.42,126,33,
水平仪,50.167647,414,107,
水平尺,47.133333,23,12,
水彩笔,16.940426,444,99,
水彩纸/本,36.611754,147,23,
水拖,26.869,180,36,
水族清洁用具,13.64,443,68,
水族清洁用品,17.61,199,38,
水族药剂,8.970398,1790,164,
水晶工艺品,19.8,22,15,
水晶档把,138,1,1,
水暖毯,260.5,6,3,
水杯配件,12.7,212,72,
水枪,24.95,1471,215,
水桶,15.106667,587,188,
水槽沥水袋,15.36,2,2,
水槽皂液器,8.161053,142,19,
水槽过滤网,8.821212,3174,113,
水泥,36.408639,265,26,
水溶肥/叶面肥,18.384417,6670,445,
水牙线/家用冲牙器,138,66,16,
水牛奶,26.7,238,24,
水箱清洗剂,22.8,1,1,
水素杯,16.069231,20,3,
水草,10.972115,723,227,
水表,17,2,1,
水袋配件,16.283333,17,4,
水质分析仪,33.33,1,1,
水钻机,553,3,3,
水飞蓟,9.9,7,2,
水饺,49.170448,1813,188,
水龙头延伸器,13.972388,500,45,
水龟/半水龟（特种养殖）,1750,1,1,
永生花,85.867581,948,61,
求生哨,9.59,6,4,
求生绳/逃生绳,17.8,10,7,
求生锯/绳锯/线锯,13.6,1,1,
汉堡,33.948647,2137,8,
汉语/辞典,28.466667,12,7,
汉语学习,130,3,3,
汗蒸服,30.8,10,10,
汤勺,12.9,334,101,
汤圆/元宵,51.368333,654,64,
汤类调料/冬阴功汤料,26.179051,1571,63,
汤锅,29.526,324,123,
汽车功放,32.91,4,3,
汽车包围,137,12,11,
汽车发动机机油,28.058955,1495,80,
汽车喇叭/高音头,44.878788,80,28,
汽车头枕,62.060909,1055,271,
汽车座椅,362.236538,133,19,
汽车挂摆件,5.017991,13090,741,
汽车杀菌/消毒机,19.76,1,1,
汽车检测终端设备,13.097549,218,10,
汽车灯光装饰,16.4325,784,140,
汽车灯泡,99.18,207,146,
汽车灯罩,59.93,1,1,
汽车玻璃防雨/防雾剂,12.431667,742,57,
汽车电动踏板,2000,2,2,
汽车空调/驻车空调,600,3,3,
汽车背带,12.67,1,1,
汽车腰靠,32.37,264,129,
汽车车标,20.4,54,51,
汽车车灯透镜,88,11,5,
汽车钥匙改装,248.333333,18,5,
汽车除锈剂/防锈剂,16.617635,1165,40,
汽车音箱/低音炮,121.388889,29,8,
汽车驱鼠剂,60.858333,47,11,
汽锅,65.52,3,3,
沉香带宝,226.962162,576,6,
沉香茶,191.680638,47,1,
沐浴刷,13.956356,743,54,
沐浴按摩用品,10.315757,423,29,
沐浴桶/沐浴盆,59.631758,577,96,
沐浴棉,22.627273,92,26,
沐浴油,9.8,1,1,
沐浴球/沐浴花,11.130918,863,85,
沐浴露,33.990723,2288,103,
沐浴露/油/乳,25.855405,13517,826,
沙/石,17.009062,46,9,
沙包,11.166667,24,15,
沙发床,301.5,123,62,
沙发椅,226.571429,29,14,
沙拉/千岛/蛋黄酱,24.081403,678,101,
沙棘/沙棘原浆,69.211765,89,17,
沙棘茶饮,220,2,1,
沙滩帐/钓鱼遮阳帐篷,27.171429,13,5,
沙滩车,3499,5,5,
沙狐球,6.377692,13,1,
沙琪玛,15.99,1916,101,
沥水篮/洗菜盆,13.9,1957,123,
油墨,140,2,2,
油壶,7.95526,1214,128,
油性胶水,18.314286,33,7,
油条/油炸糕,15.230542,630,48,
油水分离器,149,1,1,
油污清洁剂,9.749658,3320,144,
油添加剂,77.592941,284,46,
油漆笔,8.9,7,3,
油炸锅,33.46,6,5,
油烟机,721.049832,478,32,
油烟机过滤膜,6.9,243,28,
油画,1480,1,1,
油画框,39,15,8,
油画棒,9.76,25,5,
油箱/油箱盖,427.8925,11,6,
油箱盖,12.48,34,18,
油锯,120,4,4,
泌尿系统(Rx),81,1,1,
泌尿系统用药,61.9888,38,8,
法兰（新）,9.5,5,5,
法律史,17.14,2,1,
法律汇编/法律法规,14.5,6,3,
法律知识读物,39.8,3,1,
法棍,29.9,11,5,
泡打粉,9.503077,69,5,
泡沫机/洗手机,98.55,13,6,
泡沫胶,14,48,15,
泡沫轴,25.941765,345,60,
泡浴包/泡脚包/足浴包,27.316949,574,57,
泡脚袋,9.44,32,16,
泡芙,15.322692,423,88,
泡酒瓶,18.40303,359,69,
泥塑,230.692308,63,16,
泥除/挡泥板,11.65,25,16,
泰国特色,140,1,1,
泳帽,15.9,152,67,
泳池设备,66,1,1,
泳镜,38.290682,633,144,
泵,85,269,150,
泵配件,18.22,6,6,
泼油小锅,13.261538,47,4,
洁厕凝胶,35.011943,188,4,
洁瓷剂,28.348323,755,32,
洁面,43.603804,17936,765,
洋葱,13.22375,2107,30,
洒水/浇水壶,13.866071,1593,149,
洗发帽,14.6,164,34,
洗发水,240.325743,87583,1557,
洗发皂,53.22,250,44,
洗地机,2353.5,1,1,
洗地机配件/耗材,25,154,56,
洗手液,8.155578,1469,127,
洗护套装,44.818583,7039,376,
洗洁精,27.071706,2902,125,
洗漱套装,22.706667,88,9,
洗漱杯,8.953902,3103,238,
洗澡/按摩刷,12.138113,519,21,
洗澡玩具,11.91,20,7,
洗牌机,1960,1,1,
洗眼液,34.951913,5005,96,
洗碗机用洗涤剂,82.22,59,23,
洗脸刷,33.692308,57,10,
洗衣_喱,10.945556,13,3,
洗衣凝珠,18.4785,2249,84,
洗衣机,312.388889,212,43,
洗衣机槽清洁剂,8.810164,6694,63,
洗衣机配件,15.9,77,44,
洗衣机龙头,5.882711,1526,77,
洗衣液,23.55887,16622,646,
洗衣片,15.9,16,5,
洗衣皂,11.476601,1876,121,
洗衣盆,8.144,195,14,
洗衣粉,27.271277,5795,178,
洗衣膏,8.954874,3329,16,
洗车地格栅,33.44,2,1,
洗车手套,7.11,65,21,
洗车服务,35.626087,48,3,
洗车机,50.4,555,165,
洗车水枪,32.7,54,26,
洗车水管接头,18.787879,493,39,
洗车海绵/洗车泥,9.5,32,19,
洗链器,33.944737,50,9,
洗面奶,35.387816,826,44,
洗面盆配件,6.206,276,41,
洗鞋机,476,6,6,
活力板,55.533333,3,1,
活塞环,56.23,1,1,
活性炭,28.31,400,54,
活珠子/毛胚蛋,11.574435,4571,57,
活页替芯,9.9,5,5,
活页胶圈,6.98,1,1,
活饵,15.353864,2045,487,
派克服,115.271296,208,65,
流量计,68.39,5,3,
测亩仪,139,25,6,
测线仪,166.282353,27,10,
测试器材/开发工具,5.88,5,4,
测距仪,99,4,4,
浮漂,7.886806,10380,1392,
浮漂配件,8.301481,187,48,
浴室扶手/防护栏/助力器,74.3,36,25,
浴室柜组合,475.8,174,93,
浴室镜,113,3,3,
浴室防滑垫,10.427857,578,68,
浴巾,24.8,572,134,
浴巾架/毛巾架,46.592759,692,137,
浴帘,29.9,68,47,
浴帘杆,11.891429,96,22,
浴帘配件,18.58,1,1,
浴帽,9.65,44,24,
浴房,11.433333,14,7,
浴池/浴盆,83.666667,5,3,
浴沙,15.898333,57,25,
浴盐/足浴盐,37.40625,32,11,
浴缸,299,6,5,
浴缸淋浴龙头,26.558333,64,28,
浴缸配件,25.7,5,4,
浴网,15.329279,326,23,
浴袍,33.266667,424,129,
浴足剂,16.7475,2157,169,
浴霸,297.545588,224,39,
浴霸开关,9.2,5,4,
浴霸配件,7.36,5,4,
海参,316.858716,1447,47,
海参/花胶/鱼胶制品,68.317647,293,26,
海参零食,664,4,2,
海味零食礼包,17.809091,105,18,
海外学业辅导,41.342927,82,1,
海带,9.928571,2864,120,
海带类零食,16.324583,536,61,
海洋生物类,153.792023,1889,51,
海绵垫/体操垫,118,22,4,
海绵垫/布料/面料/手工diy,14.917143,12353,773,
海绵床垫,112.1,46,26,
海绵擦,16.837713,2669,113,
海胆,113.41,10,7,
海苔,19.133129,181,16,
海苔类零食,10.68782,1898,120,
海蛎干,85.208108,97,15,
海蜇,21.979477,417,12,
海蜇制品,18.207595,297,12,
海蜇类零食,15.528571,22,7,
海马,87.2,23,9,
海鲜水产礼盒,155.571429,110,19,
海鲜酱,18.550538,292,23,
海鸭蛋,15.528083,909,8,
涂刷工具,8.4128,586,219,
消化系统(Rx),380.176,10,4,
消毒喷雾,93.493956,655,46,
消毒柜/消毒机,297.9,25,17,
消毒泡腾片,45.300182,139,13,
消毒液,58.665459,16528,118,
消毒湿巾,14.258421,1012,132,
消音耳罩,172,1,1,
润唇_喱,33.8,8,3,
润唇膏,11.722325,1536,92,
润滑剂/护理剂,11.985455,92,17,
润滑剂（非医疗器械）,19.9,230,87,
润滑油/脂,8.225245,1077,40,
润滑脂,118.571429,95,29,
润眼液,6.983333,14,2,
润肤乳,28.645521,664,66,
液位计,27,1,1,
液体敷料,48,30,6,
液压冲孔机/切排机,30,1,1,
液压螺栓拉伸器,18.62,1,1,
液压装卸车,297,5,4,
液氮/冷冻榴莲,158.372977,57608,68,
淋浴花洒配件,12.9772,352,102,
淡疤护理,15.99,17,7,
淫羊藿,54.111111,29,4,
混凝土机械,72.5,4,4,
混合坚果/坚果礼盒,56.820267,2127,142,
混合巧克力,37.147009,770,28,
清凉/调理/奶伴,44.614286,34,15,
清水笋,19.070299,77,4,
清洁保养装备,15.8,32,17,
清洁剂套装,27.9875,76,9,
清洁用品,26.086111,115,7,
清洗养护剂,9.131687,3512,197,
清酒/烧酒,401.900943,74,9,
渔业,31.2,1,1,
渔具套装,46.268667,604,63,
渔网/虾笼,16.3205,2708,535,
温控仪,33.82,15,13,
温控设备,42,96,46,
温控设备（制冷/干燥/烘干）,92.75,5,2,
温湿度计,17.82425,172,18,
港澳台邮票,25.571579,19,1,
游乐场设施,13.2,15,10,
游戏,46.206377,69,1,
游戏代练,60.720461,647,40,
游戏充值,55.454545,1263,197,
游戏加速器/云游戏/游戏网吧费,16,99,15,
游戏成品号,28,6,4,
游戏手柄,63.969796,508,55,
游戏掌机,439,49,14,
游戏机配件,21.453333,37,16,
游戏桌,28.404545,80,17,
游戏竞技,47.535556,47,3,
游戏衍生品,41,1,1,
游戏账号租赁,9.837143,45,29,
游戏软件,9.688119,175,19,
游戏道具/皮肤,28.233333,1317,155,
游标卡尺,20.6,10,6,
游泳圈,25.733913,202,42,
游泳池,137.666667,4,2,
游泳浮标,61.991667,9,3,
游泳耳塞,15.9,44,10,
游艇,108,1,1,
湿厕纸,26.974575,3294,146,
溏心蛋,47.067674,237,8,
溶溶豆,25.027778,126,52,
滋补凉茶,35,87,17,
滋补礼盒,28.34,10,4,
滋补营养糖,116.814033,596,49,
滑板,97.16129,497,55,
滑板车,89.9,116,77,
滑板鞋,167.7,300,78,
滑梯,114.92,65,13,
滑水板,459,2,1,
滑翔伞,26.716667,18,1,
滑轮,24.246154,120,54,
滑雪头盔,80.5,6,5,
滑雪护具,23.61,2,2,
滑雪服,299.9925,39,26,
滑雪板,35,2,2,
滑雪眼镜,29.8,5,3,
滚动轴承,65.4,43,30,
滚铁环,14.046875,52,12,
滤材/配件,20.040354,1602,437,
滤水器/净水器,8.626632,5499,82,
滤纸,23.08,1,1,
滤镜,49.90403,244,38,
漂白剂,18.196429,346,55,
漂盒,16.582222,62,29,
漂移版/分体滑板,338,5,5,
漆器,5.162222,17,9,
漆面保护膜,12.095455,89,21,
漏勺/滤网勺,8.693103,1462,134,
漏水测试仪,159,1,1,
漏电保护器,20.58,81,14,
漏电测试仪,49.479359,113,5,
漏食球,11.2625,94,15,
演讲/口才,5.45811,786,11,
漫画书籍,55.068852,724,126,
漫画类原版书,44.8,8,7,
漱口水,29.251575,2199,129,
潜水泵,30.570909,265,85,
潜水袜,9.9,14,6,
潮玩盲盒,41.123189,27210,4042,
潮鞋（鉴真）,214.108333,956,236,
激光测距望远镜,318,1,1,
激光笔,33.274419,155,26,
灌肠机,88,4,3,
火参果,19.905,2,1,
火柴,10.56,20,13,
火漆印章,21.59,3,3,
火烧,24.99,6,5,
火石,9.383806,298,26,
火花塞,148,62,49,
火锅/火锅炉,21.055982,225,52,
火锅调料套装,37.670874,3728,319,
火龙果,21.6949,251,19,
灭火器,23.075676,56,11,
灭烟沙,5.687697,253,14,
灭蚊灯,22.254411,542,71,
灯具配件,13.833333,201,118,
灯带,58.2,42,29,
灯架/灯夹,15,14,9,
灯笼,37.6,32,28,
灯罩装饰,25,4,4,
灵芝孢子粉,188,19,6,
灵芝片,77.666667,22,5,
灵芝粉,186.5,4,1,
炉,528,1,1,
炉头,100,7,6,
炒股,43.210769,25,7,
炒菜机/烹饪锅,78.9,204,48,
炒锅,93.001469,6731,416,
炕几,252,22,3,
炖锅,51.071429,1313,150,
炙甘草,70,7,3,
炭笔,25.723529,34,1,
点/验钞/收款机,37.5,26,12,
点歌机,359.4,8,4,
点火器/点火装置,59.3,1,1,
点点胶,7.716667,20,4,
点读机,476,3,2,
点读笔,138,34,9,
烘手器/干手器,155,2,2,
烘焙刮板/刮刀,8.077021,160,22,
烘焙原料套装,36.163636,45,18,
烘焙模具,18.81,105,54,
烘焙烤盘,10.951212,766,48,
烘焙用纸,10.086171,2373,287,
烘焙量勺量杯,9.018167,246,41,
烘焙馅料,5.229804,88,24,
烙锅,23.64,2,2,
烟/酒具配件,19.9,25,11,
烟嘴,28,6063,171,
烟斗,43,33,27,
烟斗/烟嘴,20.363636,90,33,
烟斗配件,5.113333,41,14,
烟机灶具配件,11.242508,458,49,
烟灰缸,10.077067,541,76,
烟灶套装,662.222222,74,12,
烟盒,9.134,124,74,
烟道止逆阀,121.38375,74,18,
烟雾报警器,18,1,1,
烤串机/电烤炉,60.4125,61,19,
烤火桌/围炉桌,6.87,1,1,
烤馕,24.125,60,6,
烧杯/烧瓶,5.2,1,1,
烧水壶,28,193,80,
烧烤刷,5.816796,334,35,
烧烤夹,6.702857,103,27,
烧烤炉/烤架,59.5,463,153,
烧烤炭,23.82,712,70,
烧烤用具套装,26.595652,170,7,
烧烤盘,20.025714,144,38,
烧烤网,11.4,71,36,
烧烤调料/腌料,10.285,5081,322,
烧烤针,6.598497,1111,58,
烧饼/馅饼,17.178261,636,97,
烧麦,34.999266,644,71,
烫衣板及配件,10.273903,521,23,
烫金机/压烫机,233.888889,37,5,
热像仪,688,1,1,
热敏/收银纸,61.555556,31,14,
热敷包,28.66,52,17,
热熔胶枪,13.43,163,39,
热电偶,87.92,1,1,
热风枪,51.5,45,12,
烹饪工具套装,79.794603,212,50,
烹饪烘焙小吃餐饮培训,5,1,1,
焊接设备,109.074194,999,159,
焖烧杯,23.4,9,7,
照度仪,42.888889,10,2,
照明器材,29.712143,209,68,
照片/照片墙,18.6404,278,81,
煮蛋器/蒸蛋器,27.15,260,29,
熏腊肉类,19.172516,23915,706,
熟地黄,19.134884,1113,43,
燃气灶,269.87,204,65,
燃气热水器,12.250021,496,10,
燃气阀门,42.8,5,4,
燕窝,609.923676,374,18,
燕窝制品,24.599464,522,28,
燕窝果,46.8,28,13,
燕麦,23.378049,513,55,
燕麦/麦片,19.150613,6500,311,
爆炸盐,15.232514,1604,59,
爆米花,5.413166,1098,57,
爬宠鸣虫清洁用品,9.8,10,5,
爬宠鸣虫用具,19.59,154,87,
爬宠鸣虫造景用品,13.559091,31,6,
爬宠鸣虫食品,19.8,130,46,
爬宠鸣虫饲养箱,19.293333,19,13,
爬楼机,1980,2,2,
爽身粉,18.028889,278,44,
版画,146.66478,482,2,
牙具,18.151226,478,15,
牙刷,9.040863,10934,451,
牙盘,44,2,2,
牙粉,25.563483,3235,21,
牙线/牙签/牙线棒,8.721071,1371,134,
牙膏,34.191252,27372,1020,
牙膏牙刷套装,7.875398,584,14,
牙贴,21.961754,239,18,
牙雕/牙制品,37.6,2,1,
牙齿美白护理剂,18.191296,169,23,
牛仔裤,69,150062,21580,
牛初乳,99,1,1,
牛大力,98.324286,9,3,
牛奶巧克力,15.17316,632,63,
牛奶杯/果汁杯,12.9,33,17,
牛奶粉,49.056889,1778,152,
牛尾,139,55,15,
牛排,123.55654,7129,95,
牛杂/内脏,79.723529,234,27,
牛油果,28.189259,350,28,
牛筋/牛蹄,36.791304,34,5,
牛肉制品,56.136667,2073,209,
牛肉零食,50.361301,14464,681,
牛肚/牛百叶,67.703632,324,12,
牛脾肽/牛脾肽饮,104.652357,276,5,
牛腩,111.59026,219,13,
牛腱子,153.97918,212,24,
牛膝,31.42413,59,7,
牛蒡,52.571429,30,7,
牛蛙制品,49.661905,75,9,
牛骨类,67.581731,195,29,
牡蛎,16.8,5,4,
牦牛奶粉,16.522,9,4,
物料基材,6.734286,11,3,
物料处理设备（输送/筛选）,28.042759,150,4,
物料搬运装备,24.9,30,19,
物理学,31.10375,9,2,
物联网,66.8,1,1,
牵引带,15.25,1188,387,
特殊医学用途婴儿配方食品,3831,1,1,
特种工业设备,46.82,2,2,
狗主粮,18.9,6092,489,
狗冻干零食,21.9,253,58,
狗厕所,29.265517,209,56,
狗处方粮,154.714286,12,5,
狗活体,679.243162,506,19,
狗火腿肠/香肠,16.666667,73,18,
狗特色保健品,30.860038,1179,120,
狗磨牙棒/洁齿骨/咬胶,15.731611,669,66,
狗零食罐,29.97,26,9,
狗风干零食/肉干/肉条,18.477184,3054,504,
狗饼干,20.275,6,3,
独木舟,212.5,2,1,
猕猴桃干,12.761912,666,14,
猛犸牙,281.437168,168,31,
猪五花肉,89.761429,207,21,
猪排,44.634186,61,2,
猪排骨/肋排,78.680917,515,29,
猪杂/内脏,85.957473,1146,33,
猪肉制品,24.043073,3189,181,
猪肉零食,17.393461,11057,585,
猪肘,53.545455,19,6,
猪肚,50.328571,19,3,
猪腿肉,28.1505,308,14,
猪蹄,55.4904,87,14,
猪里脊/梅肉,80.159375,66,8,
猫/狗药品,14.9,331,102,
猫/狗通用食品,17.061995,3458,253,
猫主粮,30.32,11414,1012,
猫冻干零食,14.88,6239,530,
猫处方粮,197.912821,54,8,
猫抓板,13.344872,1483,179,
猫条,18.426894,2388,236,
猫活体,708.625,63,13,
猫爬架,38.4,57,31,
猫特色保健品,26.381787,8085,169,
猫砂,15.657866,6561,448,
猫砂盆/猫厕所,23.911111,257,94,
猫砂铲,6.012254,224,31,
猫草/猫草片,60.162301,178,15,
猫零食罐头,17.808259,2856,326,
猫风干零食/肉干/鱼干,23.9,23,11,
猴头核桃,58.166667,520,140,
玄关台,266.9,6,6,
玄幻/武侠小说,28,28,18,
玉竹,25.566501,866,11,
玉米灯,15.24,16,11,
玉米糁/玉米渣,14.306844,3350,39,
玉米脱粒机,89.181818,15,5,
玉米须,12.9,11,6,
玉米须茶,39.285438,209,14,
玫瑰花,21.9,8,7,
玫瑰花瓣,21.884189,149,2,
玫瑰花脯,25.466667,5,3,
玫瑰花茶,23.181961,316,40,
玫瑰茄/洛神花,7.464789,81,8,
环保处理设备,198,4,4,
环境科学,31.44,8,1,
现代/当代文学,34.522622,637,67,
现代花钱,15,20,9,
现制甜品/饮品,24.94,1,1,
现制菜肴/汤羹,7.63,1,1,
玻璃,6,5,4,
玻璃修复工具,17.617949,174,8,
玻璃升降器,36.777778,16,6,
玻璃吸盘,99,26,9,
玻璃杯,16.9,4183,878,
玻璃水,10.336364,943,128,
玻璃清洁器及配件,8.785827,2009,88,
玻璃砖,124,11,2,
玻璃胶/防霉胶,16.5,194,59,
玻璃配件,23.518182,22,10,
玻璃防爆隔热膜,18,59,27,
珊瑚/海葵,100,97,17,
珍宝蟹,49,2,1,
珠宝半成品,7.384615,800,104,
珠宝奇石,18.665556,522,115,
球杆保养工具,29.7,64,30,
球杆加长器,35,7,5,
球类玩具,16.95,491,144,
理发器,95.6,457,115,
理发围布,19.9,100,40,
理财/基金,35.6,9,4,
琉璃,49.696875,282,42,
琴弦,14.390345,73,30,
琴码,14.283333,18,1,
琵琶,420.2,1,1,
瑜伽圈/普拉提圈,16.192115,128,14,
瑜伽垫,27.3,1085,263,
瑜伽拉力带,11.4,439,71,
瑜伽服,35.908261,4403,1465,
瑜伽球,10.253913,989,54,
瑜伽砖,11.98,208,33,
瑜伽舒展器/健康架,15.5936,199,28,
瑜伽裤,39.718333,2866,702,
瑜伽鞋,20.143956,1982,72,
瑜伽香薰精油,68,5,2,
瑞士军刀,516,3,3,
瑞士腕表,359.992063,132,5,
瓜子,16.082801,8371,538,
瓜果刀/刨,9.366364,3432,157,
瓶,198,9,6,
瓶/罐,14.634648,1154,52,
瓶类,39,3,3,
瓷片,58,19,6,
瓷砖,79.843358,155,16,
瓷砖平铺机,50,1,1,
瓷砖推刀,707.48,45,12,
瓷砖胶,11.036991,774,35,
瓷砖调高器,9.690256,43,4,
甘草,24.20807,230,43,
甘蔗,15.699968,879,32,
甜瓜,31.574812,17004,182,
甜甜圈,25.978333,7,2,
甜菜头,20.435294,25,5,
生命科学/生物学,9.9,15,4,
生地黄,21.06,18,6,
生态,10.075,2,1,
生态板/免漆板/三聚氰胺板,32,1,1,
生料带,5.775,5,2,
生活小技巧,30,9,4,
生活百科,173.039103,241,25,
生活英语,37.7625,6,2,
生物学,69.9,1,1,
生理裤,22.8,63,38,
生肖用品,15.8,28,21,
生鲜专用吸水纸/食材擦拭纸,12.335,2,1,
生鲜灯,49,2,2,
甩脂机/律动机,117.642857,33,7,
田径运动服,59.99,37,23,
甲油胶,35.28,6694,567,
甲片,17.287321,439,133,
甲虫,38.5,12,8,
甲醛检测仪,16.6,15,5,
甲醛检测剂/自测盒,160,7,1,
甲醛清除剂,35.27764,256,26,
甲鱼制品,79.451842,382,52,
电信话费充值卡,47.177115,6309,26,
电刨,398,1,1,
电剪,133.6,19,10,
电动/智能床,20,2,2,
电动三轮车,366.333333,32,9,
电动修甲刀,32.5,43,12,
电动修眉刀,27.220828,212,9,
电动修脚器,29.05,30,14,
电动公仔/娃娃,11.026591,62,12,
电动刮痧仪,33.936721,82,3,
电动剃毛器,93.582338,513,12,
电动剃须刀/修须刀/修胡子造型器,49.881809,6431,284,
电动尾门/中门/电吸门,480,2,2,
电动平衡车,519,3,3,
电动打奶器,11.702584,250,3,
电动扳手,106.283571,886,44,
电动批头,9.99,310,60,
电动抽水器/取水器,18.425781,835,35,
电动拖把/电动扫把,61.35916,644,2,
电动搓澡仪,227.383333,14,3,
电动摩托车,4054.57143,281,35,
电动文具,33.801282,89,6,
电动榨汁机/原汁机,29.596021,3144,22,
电动毛球修剪器,21.220455,199,31,
电动沙发,1426.8,24,15,
电动滑板车,703.75,10,7,
电动牙刷,225.402889,807,88,
电动牙刷刷头,23.8,213,86,
电动玩具枪,29.8,265,57,
电动瘦身/腰/腿仪器,185.18,1,1,
电动睫毛卷翘器,11.47,3,3,
电动自行车,1629,25,20,
电动螺丝批,55.542373,271,17,
电动车/摩托车坐垫,11.8,894,316,
电动车/摩托车坐垫套,12.4,613,149,
电动车/摩托车头盔,31.871212,3404,817,
电动车/摩托车头盔耳机,360.25,128,25,
电动车/摩托车贴纸,8.8,75,53,
电动车/摩托车车灯,19.5,189,87,
电动车/摩托车遮阳伞,58.9,331,90,
电动车/摩托车雨披,29.394286,2540,295,
电动车/摩托车音响,198,3,3,
电动车/自行车车锁,12.574655,177,42,
电动车儿童座椅,54.267027,137,22,
电动车充电器,40.9,103,72,
电动车充电插座,17.49125,34,14,
电动车刹车装置,40.3125,112,54,
电动车反光镜,21.435,199,92,
电动车电池,2538.71429,36,23,
电动车轮胎,66,110,71,
电压力锅,122.048128,494,38,
电压转换器,42,5,5,
电吉他,2047.36,10,8,
电吹管,99.047826,45,6,
电吹风,64.369474,1442,190,
电声器材,53.666667,13,9,
电子/通信,89,1,1,
电子书保护套,12.8,2,2,
电子书手写笔/电磁笔,228.272727,16,5,
电子制造设备,49,4,3,
电子及精密清洗剂,15.042857,16,2,
电子口腔喷雾器,108.5,3,2,
电子商务,5.06,4,2,
电子灭蚊器,27.289597,411,42,
电子琴,477.333333,17,12,
电子秤,112.625,85,35,
电子秤/体重秤,52.593022,1344,41,
电子胶/密封胶/硅胶/粘合剂,8,47,11,
电子辞典/单词机,1459.26667,15,1,
电子阅读,2280,1,1,
电子鼓,602.68,1,1,
电工保险丝,7,2,2,
电工技术/家电维修,14.68,1,1,
电工胶带,13.5,26,13,
电影/电视艺术,53.8,6,4,
电推剪,42.143462,495,46,
电机,756.666667,7,5,
电机/马达,29,6,6,
电机配件,12.8,52,50,
电气控制元件,16.9,1,1,
电气模块,58,1,1,
电气系统,40.142,60,38,
电池/电力配件,9.8,585,107,
电池盒,5.85,1,1,
电池转换器,91.3,7,5,
电源,190.185,5,2,
电源/不间断电源/应急电源,12.8,16,12,
电源及电源管理,14.8,11,8,
电源插座,18.525577,766,128,
电源转换器,39.422727,60,12,
电火锅,61.277068,454,52,
电炖锅/煲汤锅/电炖盅,91.084962,626,44,
电烙铁,39.5,42,20,
电烤箱,286.696709,95,9,
电热丝,317,1,1,
电热地毯/地垫,29.8,1,1,
